date_purchase_id,date_purchase
1192,2023-02-07
99,2019-05-01
39,2019-02-19
606,2021-01-29
997,2022-06-06
530,2020-11-01
578,2020-12-27
1008,2022-06-21
533,2020-11-08
525,2020-10-26
447,2020-07-15
1065,2022-09-01
1112,2022-11-03
449,2020-07-17
685,2021-05-06
791,2021-09-15
1100,2022-10-21
747,2021-07-25
1328,2023-07-31
946,2022-04-06
1195,2023-02-10
1210,2023-02-25
180,2019-08-06
182,2019-08-08
48,2019-03-04
1420,2023-11-15
189,2019-08-18
104,2019-05-07
156,2019-07-07
432,2020-06-24
1396,2023-10-18
887,2022-01-21
1473,2024-01-17
71,2019-03-30
1175,2023-01-18
333,2020-02-04
393,2020-05-04
789,2021-09-13
912,2022-02-21
375,2020-04-09
1446,2023-12-15
1019,2022-07-09
232,2019-10-09
1166,2023-01-06
1133,2022-11-28
1211,2023-02-26
566,2020-12-14
428,2020-06-20
173,2019-07-29
265,2019-11-17
317,2020-01-18
903,2022-02-11
335,2020-02-07
910,2022-02-18
19,2019-01-25
1069,2022-09-07
1042,2022-08-06
1011,2022-06-28
1421,2023-11-16
1067,2022-09-04
416,2020-06-05
1266,2023-05-12
612,2021-02-06
1202,2023-02-17
587,2021-01-07
240,2019-10-17
1268,2023-05-15
492,2020-09-16
1474,2024-01-18
58,2019-03-15
426,2020-06-18
1047,2022-08-11
943,2022-04-02
205,2019-09-04
1253,2023-04-18
1292,2023-06-13
1281,2023-05-29
1449,2023-12-19
